Economy,Year,Score-Starting a business
Cambodia,DB2018,51.9
Cambodia,DB2017,50.9
Cambodia,DB2016,54.5
Cambodia,DB2015,37.3
Cambodia,DB2014,35.7
Cambodia,DB2013,43.5
Cambodia,DB2012,38.8
Cambodia,DB2011,35.1
Cambodia,DB2010,34
Cambodia,DB2009,30.5
Cambodia,DB2008,28.8
Cameroon,DB2018,82.4
Cameroon,DB2017,75.3
Cameroon,DB2016,74.8
Cameroon,DB2015,73.8
Cameroon,DB2014,72.6
Cameroon,DB2013,72.9
Cameroon,DB2012,71.4
Cameroon,DB2011,67.7
Cameroon,DB2010,49.7
Cameroon,DB2009,44.3
Cameroon,DB2008,46.9
Canada,DB2018,98.2
Canada,DB2017,98.2
Canada,DB2016,98.2
Canada,DB2015,97.2
Canada,DB2014,97.2
Canada,DB2013,97.2
Canada,DB2012,97.2
Canada,DB2011,97.2
Canada,DB2010,97.2
Canada,DB2009,97.2
Canada,DB2008,96.2
Central African Republic,DB2018,37
Central African Republic,DB2017,33.1
Central African Republic,DB2016,33.7
Central African Republic,DB2015,31.4
Central African Republic,DB2014,38.3
Central African Republic,DB2013,37.1
Central African Republic,DB2012,39.7
Central African Republic,DB2011,32.3
Central African Republic,DB2010,32.3
Central African Republic,DB2009,29.6
Central African Republic,DB2008,29.9
Chad,DB2018,50.3
Chad,DB2017,51.9
Chad,DB2016,41.9
Chad,DB2015,41.9
Chad,DB2014,34.3
Chad,DB2013,30.2
Chad,DB2012,25.5
Chad,DB2011,17.7
Chad,DB2010,18.8
Chad,DB2009,19.1
Chad,DB2008,17
Chile,DB2018,87.2
Chile,DB2017,87.2
Chile,DB2016,87.2
Chile,DB2015,87.2
Chile,DB2014,87.2
Chile,DB2013,87.1
Chile,DB2012,86.5
Chile,DB2011,78
Chile,DB2010,77.1
Chile,DB2009,77.1
Chile,DB2008,76.9
China,DB2018,85.4
China,DB2017,84.3
China,DB2016,80.8
China,DB2015,80.9
China,DB2014,72.2
China,DB2013,
China,DB2012,
China,DB2011,
China,DB2010,
China,DB2009,
China,DB2008,
China - Beijing,DB2018,85.1
China - Beijing,DB2017,84.1
China - Beijing,DB2016,80.3
China - Beijing,DB2015,80.5
China - Beijing,DB2014,71.8
China - Beijing,DB2013,
China - Beijing,DB2012,
China - Beijing,DB2011,
China - Beijing,DB2010,
China - Beijing,DB2009,
China - Beijing,DB2008,
China - Shanghai,DB2018,85.6
China - Shanghai,DB2017,84.6
China - Shanghai,DB2016,81.1
China - Shanghai,DB2015,81.2
China - Shanghai,DB2014,72.5
China - Shanghai,DB2013,72
China - Shanghai,DB2012,68.2
China - Shanghai,DB2011,67
China - Shanghai,DB2010,66.1
China - Shanghai,DB2009,63.2
China - Shanghai,DB2008,64.2
Colombia,DB2018,85.3
Colombia,DB2017,85.3
Colombia,DB2016,83.6
Colombia,DB2015,84.4
Colombia,DB2014,84.4
Colombia,DB2013,84.4
Colombia,DB2012,84.6
Colombia,DB2011,83.8
Colombia,DB2010,81.9
Colombia,DB2009,76.2
Colombia,DB2008,71.3
Comoros,DB2018,72
Comoros,DB2017,69.9
Comoros,DB2016,71.2
Comoros,DB2015,59.3
Comoros,DB2014,58.2
Comoros,DB2013,52.6
Comoros,DB2012,48.3
Comoros,DB2011,48.7
Comoros,DB2010,46.9
Comoros,DB2009,44.8
Comoros,DB2008,43.3
"Congo, Dem. Rep.",DB2018,89.8
"Congo, Dem. Rep.",DB2017,84.8
"Congo, Dem. Rep.",DB2016,84.8
"Congo, Dem. Rep.",DB2015,57.7
"Congo, Dem. Rep.",DB2014,26.8
"Congo, Dem. Rep.",DB2013,46.5
"Congo, Dem. Rep.",DB2012,44.7
"Congo, Dem. Rep.",DB2011,39.9
"Congo, Dem. Rep.",DB2010,30.1
"Congo, Dem. Rep.",DB2009,30.1
"Congo, Dem. Rep.",DB2008,30.1
"Congo, Rep.",DB2018,63.8
"Congo, Rep.",DB2017,58.6
"Congo, Rep.",DB2016,60.5
"Congo, Rep.",DB2015,60.5
"Congo, Rep.",DB2014,48.5
"Congo, Rep.",DB2013,47.6
"Congo, Rep.",DB2012,43.4
"Congo, Rep.",DB2011,40.7
"Congo, Rep.",DB2010,42.7
"Congo, Rep.",DB2009,38.1
"Congo, Rep.",DB2008,43.4
Costa Rica,DB2018,81.6
Costa Rica,DB2017,81.6
Costa Rica,DB2016,81.2
Costa Rica,DB2015,81.1
Costa Rica,DB2014,81.1
Costa Rica,DB2013,67.5
Costa Rica,DB2012,64.3
Costa Rica,DB2011,64.2
Costa Rica,DB2010,64.2
Costa Rica,DB2009,63.9
Costa Rica,DB2008,59.8
C“te d'Ivoire,DB2018,90
C“te d'Ivoire,DB2017,89.9
C“te d'Ivoire,DB2016,90
C“te d'Ivoire,DB2015,89.8
C“te d'Ivoire,DB2014,74.9
C“te d'Ivoire,DB2013,51.1
C“te d'Ivoire,DB2012,49.7
C“te d'Ivoire,DB2011,47.5
C“te d'Ivoire,DB2010,47.4
C“te d'Ivoire,DB2009,46.5
C“te d'Ivoire,DB2008,45.6
Croatia,DB2018,82.5
Croatia,DB2017,82.5
Croatia,DB2016,82.9
Croatia,DB2015,82.9
Croatia,DB2014,82.2
Croatia,DB2013,82.5
Croatia,DB2012,82.9
Croatia,DB2011,82.8
Croatia,DB2010,82.3
Croatia,DB2009,81.9
Croatia,DB2008,81.8
Cyprus,DB2018,91.2
Cyprus,DB2017,91.2
Cyprus,DB2016,89.2
Cyprus,DB2015,89.1
Cyprus,DB2014,89.2
Cyprus,DB2013,89.2
Cyprus,DB2012,89.1
Cyprus,DB2011,89.2
Cyprus,DB2010,89.3
Cyprus,DB2009,89
Cyprus,DB2008,
Czech Republic,DB2018,83.5
Czech Republic,DB2017,83
Czech Republic,DB2016,81.3
Czech Republic,DB2015,81.3
Czech Republic,DB2014,79.5
Czech Republic,DB2013,79.3
Czech Republic,DB2012,79.2
Czech Republic,DB2011,77.2
Czech Republic,DB2010,77.3
Czech Republic,DB2009,76.4
Czech Republic,DB2008,75.3
Denmark,DB2018,92.5
Denmark,DB2017,92.5
Denmark,DB2016,92.4
Denmark,DB2015,91.8
Denmark,DB2014,91.2
Denmark,DB2013,91.2
Denmark,DB2012,91.2
Denmark,DB2011,91.1
Denmark,DB2010,90.2
Denmark,DB2009,90.1
Denmark,DB2008,90.1
Djibouti,DB2018,80.4
Djibouti,DB2017,68.3
Djibouti,DB2016,63.2
Djibouti,DB2015,62.8
Djibouti,DB2014,59.1
Djibouti,DB2013,27.7
Djibouti,DB2012,26.1
Djibouti,DB2011,26.1
Djibouti,DB2010,26.1
Djibouti,DB2009,26.1
Djibouti,DB2008,24.4
Dominica,DB2018,89.3
Dominica,DB2017,89.3
Dominica,DB2016,89.4
Dominica,DB2015,89.3
Dominica,DB2014,89.1
Dominica,DB2013,89.3
Dominica,DB2012,88.5
Dominica,DB2011,88.2
Dominica,DB2010,88.1
Dominica,DB2009,87.8
Dominica,DB2008,87.3
Dominican Republic,DB2018,83.2
Dominican Republic,DB2017,82.5
Dominican Republic,DB2016,83.3
Dominican Republic,DB2015,82.9
Dominican Republic,DB2014,82.6
Dominican Republic,DB2013,82.3
Dominican Republic,DB2012,81.8
Dominican Republic,DB2011,79.6
Dominican Republic,DB2010,83.2
Dominican Republic,DB2009,83.6
Dominican Republic,DB2008,78.2
Ecuador,DB2018,69
Ecuador,DB2017,69.2
Ecuador,DB2016,68.5
Ecuador,DB2015,65.3
Ecuador,DB2014,65.1
Ecuador,DB2013,64.5
Ecuador,DB2012,64.7
